Old Step,Field Key,Question Text,Input Type,Required,Conditional,Recommended Action,Option A New Step,Option B New Step,Option C New Step,Rationale,Risk Level,Stakeholder Decision,Notes
1,main_contact_name,Full Name,text,Yes,No,Keep,1 - Primary Contact,1 - Primary Contact,1 - Contact Info,Required field — critical for project kickoff,None,,
1,main_contact_title,Title/Role,select,Yes,No,Keep,1 - Primary Contact,1 - Primary Contact,1 - Contact Info,Required — identifies decision maker role,None,,
1,main_contact_email,Email Address,email,Yes,No,Keep,1 - Primary Contact,1 - Primary Contact,1 - Contact Info,Required — primary communication channel,None,,
1,main_contact_phone,Best Contact Number,tel,Yes,No,Keep,1 - Primary Contact,1 - Primary Contact,1 - Contact Info,Required — primary contact method,None,,
2,has_secondary_contact,Do you have a secondary contact for day-to-day matters?,radio,No,No,Keep,2 - Additional Contacts,2 - Other Contacts,1 - Contact Info,Gate for conditional fields — low effort,None,,
2,secondary_contact_name,Secondary Contact - Full Name,text,No,Yes,Keep,2 - Additional Contacts,2 - Other Contacts,1 - Contact Info,Conditional — only shown when needed,None,,
2,secondary_contact_email,Secondary Contact - Email,text,No,Yes,Keep,2 - Additional Contacts,2 - Other Contacts,1 - Contact Info,Conditional — only shown when needed,None,,
2,secondary_contact_phone,Secondary Contact - Phone,text,No,Yes,Keep,2 - Additional Contacts,2 - Other Contacts,1 - Contact Info,Conditional — only shown when needed,None,,
3,has_tech_contact,Do you have a dedicated technical/IT contact?,radio,No,No,Keep,2 - Additional Contacts,2 - Other Contacts,1 - Contact Info,Gate for conditional fields — low effort,None,,
3,tech_contact_name,Technical Contact - Full Name,text,No,Yes,Keep,2 - Additional Contacts,2 - Other Contacts,1 - Contact Info,Conditional — only shown when needed,None,,
3,tech_contact_email,Technical Contact - Email,email,No,Yes,Keep,2 - Additional Contacts,2 - Other Contacts,1 - Contact Info,Conditional — only shown when needed,None,,
4,business_name,Business Name,text,Yes,No,Keep,3 - Business Overview,3 - Business Overview,2 - Business Basics,Required — appears on all deliverables,None,,
4,website_url,Main Website URL,url,Yes,No,Keep,3 - Business Overview,3 - Business Overview,2 - Business Basics,Required — needed for audit/setup,None,,
4,business_phone,Main Business Phone,tel,Yes,No,Keep,3 - Business Overview,3 - Business Overview,2 - Business Basics,Required — appears in listings,None,,
4,year_founded,When was your firm founded?,select,No,No,Defer,3 - Business Overview,— (Deferred),— (Deferred),Nice-to-know; doesn't affect service delivery. Collect at kickoff call.,Low,,"Deferred to kickoff call"
5,physical_address,Physical Company Address,textarea,Yes,No,Keep,3 - Business Overview,3 - Business Overview,2 - Business Basics,Required — needed for GBP and local SEO,None,,
5,location_type,What type of location is this?,radio,No,No,Remove,3 - Business Overview,— (Removed),— (Removed),Irrelevant to marketing service delivery,None,,
5,how_long_at_location,How long have you been at this location?,select,No,No,Remove,3 - Business Overview,— (Removed),— (Removed),Irrelevant to marketing service delivery,None,,
6,languages,What languages are spoken at your firm?,checkbox-group,No,No,Keep,3 - Business Overview,3 - Business Overview,— (Deferred),Affects content strategy for multilingual SEO,Low,,
6,owner_names,Owner/Main Partner(s) Names,textarea,No,No,Keep,3 - Business Overview,3 - Business Overview,2 - Business Basics,Needed for bios and about pages,Low,,
6,firm_size,How many people work at your firm?,select,No,No,Defer,3 - Business Overview,— (Deferred),— (Deferred),Discovery call context not onboarding-critical,Low,,"Deferred to kickoff call"
7,primary_goal,What is your #1 goal for working with us?,radio,No,No,Keep,4 - Vision & Goals,4 - Goals & Strategy,3 - Goals,Sets strategic direction for engagement,Low,,
7,success_definition,What would make this engagement a success in 12 months?,textarea,Yes,No,Keep,4 - Vision & Goals,4 - Goals & Strategy,3 - Goals,Required — anchors success measurement,None,,
7,current_challenges,What is your biggest marketing challenge right now?,textarea,No,No,Keep,4 - Vision & Goals,4 - Goals & Strategy,— (Deferred),Helps team prioritize focus areas,Low,,
8,important_metrics,Which metrics matter most to you?,checkbox-group,No,No,Keep,4 - Vision & Goals,4 - Goals & Strategy,— (Deferred),Determines reporting focus,Low,,
8,current_lead_volume,How many leads do you currently get per month?,select,No,No,Defer,4 - Vision & Goals,— (Deferred),— (Deferred),Better gathered in kickoff call with analytics data,Low,,"Deferred to kickoff call"
8,target_lead_volume,How many leads would you like to get per month?,select,No,No,Defer,4 - Vision & Goals,— (Deferred),— (Deferred),Better gathered in kickoff call with context,Low,,"Deferred to kickoff call"
9,has_brand_guide,Do you have a brand style guide?,radio,No,No,Keep,5 - Brand Identity,5 - Brand & Design,— (Deferred),Determines design workflow,Low,,
9,has_logo_files,Do you have high-quality logo files?,radio,No,No,Remove,5 - Brand Identity,— (Removed),— (Removed),Agency will request files directly via email,None,,
10,knows_brand_colors,Do you know your brand color hex codes?,radio,No,No,Keep,5 - Brand Identity,5 - Brand & Design,— (Deferred),Gate for color input fields,Low,,
10,primary_color,Primary Brand Color (Hex),text,No,Yes,Keep,5 - Brand Identity,5 - Brand & Design,— (Deferred),Conditional — useful when client knows colors,Low,,
10,secondary_color,Secondary Brand Color (Hex),text,No,Yes,Keep,5 - Brand Identity,5 - Brand & Design,— (Deferred),Conditional — useful when client knows colors,Low,,
10,typography_fonts,What fonts do you use?,text,No,No,Defer (optional),5 - Brand Identity,5 - Brand & Design,— (Deferred),Agency can extract from website; stakeholder choice,Low,,"Keep or defer — see notes"
11,owns_domain,Do you own your domain name?,radio,No,No,Keep,6 - Domain & Website,6 - Technical Setup,— (Deferred),Determines access workflow,Low,,
11,domain_registrar,Where is your domain registered?,select,No,No,Keep,6 - Domain & Website,6 - Technical Setup,— (Deferred),Needed for DNS work,Low,,
11,controls_dns,Do you have access to your DNS settings?,radio,No,No,Keep,6 - Domain & Website,6 - Technical Setup,— (Deferred),Determines who handles DNS changes,Low,,
12,website_platform,What platform is your website built on?,radio,No,No,Keep,6 - Domain & Website,6 - Technical Setup,— (Deferred),Determines dev workflow,Low,,
12,website_managed_by,Who currently manages your website?,radio,No,No,Keep,6 - Domain & Website,6 - Technical Setup,— (Deferred),Identifies current agency/freelancer,Low,,
13,uses_call_tracking,Do you use call tracking?,radio,No,No,Keep,7 - Lead Tracking,6 - Technical Setup,— (Deferred),Gate for provider field,Low,,
13,call_tracking_provider,Which call tracking provider?,select,No,Yes,Keep,7 - Lead Tracking,6 - Technical Setup,— (Deferred),Conditional — needed for integration,Low,,
13,form_submission_destinations,Where should form submissions be sent?,textarea,No,No,Keep,7 - Lead Tracking,6 - Technical Setup,— (Deferred),Critical for lead routing,Low,,
14,service_area_type,What is your service area?,radio,No,No,Keep,8 - Target Areas,7 - SEO & Targeting,4 - SEO Targeting,Determines geo-targeting strategy,Low,,
14,main_geographical_areas,List your target cities/areas,textarea,Yes,No,Keep,8 - Target Areas,7 - SEO & Targeting,4 - SEO Targeting,Required — core SEO targeting input,None,,
14,has_multiple_locations,Do you have multiple office locations?,radio,No,No,Remove,8 - Target Areas,— (Removed),— (Removed),Already captured by service_area_type and address,None,,
15,primary_case_types_keywords,What are your primary case types?,textarea,Yes,No,Keep,9 - Case Types & Keywords,7 - SEO & Targeting,4 - SEO Targeting,Required — core SEO keyword strategy,None,,
15,case_priority,Which case type should we focus on first?,text,No,No,Keep,9 - Case Types & Keywords,7 - SEO & Targeting,4 - SEO Targeting,Helps prioritize SEO work,Low,,
15,cases_to_avoid,Are there any case types you do NOT want?,textarea,No,No,Keep,9 - Case Types & Keywords,7 - SEO & Targeting,— (Deferred),Prevents wasted effort on wrong keywords,Low,,
16,has_gbp,Do you have a Google Business Profile?,radio,No,No,Keep,10 - Google Business Profile,7 - SEO & Targeting,— (Deferred),Gate for GBP-related conditionals,Low,,
16,gbp_listing_url,Google Business Profile URL,url,No,Yes,Keep,10 - Google Business Profile,7 - SEO & Targeting,— (Deferred),Needed for GBP optimization work,Low,,
16,current_review_count,Approximately how many Google reviews do you have?,select,No,Yes,Remove,10 - Google Business Profile,— (Removed),— (Removed),Agency can see this on the GBP listing directly,None,,
16,current_rating,What is your current star rating?,select,No,Yes,Remove,10 - Google Business Profile,— (Removed),— (Removed),Agency can see this on the GBP listing directly,None,,
17,has_advertising_restrictions,Does your state have special advertising rules?,radio,No,No,Keep,11 - Legal & Compliance,8 - Legal Content & Comms,6 - Legal & Content,Important compliance gate,Low,,
17,advertising_regulations,What restrictions apply?,textarea,No,Yes,Keep,11 - Legal & Compliance,8 - Legal Content & Comms,6 - Legal & Content,Conditional — critical when restrictions exist,Low,,
17,legal_disclaimers,Do you have required legal disclaimers?,textarea,No,No,Keep,11 - Legal & Compliance,8 - Legal Content & Comms,6 - Legal & Content,Needed for all published content,Low,,
18,content_approval_required,Would you like to approve content before publishing?,radio,No,No,Keep,12 - Content Preferences,8 - Legal Content & Comms,— (Deferred),Sets workflow expectations,Low,,
18,words_phrases_to_avoid,Any words or phrases we should avoid?,textarea,No,No,Keep,12 - Content Preferences,8 - Legal Content & Comms,— (Deferred),Prevents content mistakes,Low,,
18,topics_to_avoid,Any topics we should avoid?,textarea,No,No,Keep,12 - Content Preferences,8 - Legal Content & Comms,— (Deferred),Prevents content mistakes,Low,,
19,preferred_communication,Preferred communication method,radio,No,No,Keep,13 - Communication,8 - Legal Content & Comms,— (Deferred),Sets working relationship,Low,,
19,call_frequency_preference,How often would you like to meet?,radio,No,No,Keep,13 - Communication,8 - Legal Content & Comms,— (Deferred),Sets meeting cadence,Low,,
19,additional_report_recipients,Who else should receive reports?,textarea,No,No,Defer,13 - Communication,— (Deferred),— (Deferred),Can be set up any time post-kickoff,Low,,"Deferred to post-kickoff email"
20,has_google_analytics,Do you have Google Analytics set up?,radio,No,No,Keep,14 - Access Checklist,9 - Access Checklist,5 - Access Checklist,Gate for GA access row,None,,
20,ga_access_granted,Google Analytics access status,radio,No,Yes,Keep,14 - Access Checklist,9 - Access Checklist,5 - Access Checklist,Conditional — tracks access provision,None,,
21,gsc_access_granted,Google Search Console access status,radio,No,No,Keep,14 - Access Checklist,9 - Access Checklist,5 - Access Checklist,Tracks access provision,None,,
22,gbp_access_granted,Google Business Profile access status,radio,No,No,Keep,14 - Access Checklist,9 - Access Checklist,5 - Access Checklist,Tracks access provision,None,,
23,wordpress_access_granted,WordPress Admin access status,radio,No,No,Keep,14 - Access Checklist,9 - Access Checklist,5 - Access Checklist,Tracks access provision,None,,
24,domain_registrar_access_status,Domain registrar access status,radio,No,No,Keep,14 - Access Checklist,9 - Access Checklist,— (Deferred),Tracks access provision,None,,
25,dns_access_granted,DNS access status,radio,No,No,Keep,14 - Access Checklist,9 - Access Checklist,5 - Access Checklist,Tracks access provision,None,,
26,has_youtube,Do you have a YouTube channel?,radio,No,No,Keep,14 - Access Checklist,9 - Access Checklist,— (Deferred),Gate for YouTube access row,Low,,
26,youtube_access_granted,YouTube access status,radio,No,Yes,Keep,14 - Access Checklist,9 - Access Checklist,— (Deferred),Conditional — tracks access,Low,,
26,has_lsa,Do you have Local Services Ads (LSA)?,radio,No,No,Defer,14 - Access Checklist,— (Deferred),— (Deferred),Niche service — ask during strategy call,Low,,"Deferred to strategy call"
26,lsa_customer_ids,LSA Customer ID(s),text,No,Yes,Defer,14 - Access Checklist,— (Deferred),— (Deferred),Niche — only relevant for LSA clients,Low,,"Deferred to strategy call"
27,has_previous_agency,Were you working with another marketing agency?,radio,No,No,Keep,15 - Previous Agency,10 - Transition & Wrap-up,— (Deferred),Gate for transition workflow,Low,,
27,previous_agency_contact,Previous agency contact info,textarea,No,Yes,Keep,15 - Previous Agency,10 - Transition & Wrap-up,— (Deferred),Conditional — needed for transitions,Low,,
27,can_remove_agency_access,Would you like us to help remove their access?,radio,No,Yes,Keep,15 - Previous Agency,10 - Transition & Wrap-up,— (Deferred),Conditional — determines transition scope,Low,,
28,wants_welcome_gift,Would you like to receive a welcome gift?,radio,No,No,Keep,16 - Welcome Gift,10 - Transition & Wrap-up,— (Deferred),Client experience touchpoint,Low,,
28,gift_recipient_name,Recipient Name,text,No,Yes,Keep,16 - Welcome Gift,10 - Transition & Wrap-up,— (Deferred),Conditional — needed for gift,Low,,
28,gift_shipping_address,Shipping Address,textarea,No,Yes,Keep,16 - Welcome Gift,10 - Transition & Wrap-up,— (Deferred),Conditional — needed for gift,Low,,
28,shipping_preference,Any shipping instructions?,textarea,No,Yes,Remove,16 - Welcome Gift,— (Removed),— (Removed),Rarely used; handle via email if gift accepted,None,,
29,,Review step (no form inputs),info-text,No,No,Keep,17 - Review,11 - Review,— (Removed),Validation summary; consider merging with Submit,None,,
30,confirm_accuracy,I confirm information is accurate,checkbox,No,No,Keep,18 - Submit,12 - Submit,7 - Submit,Legal confirmation,None,,
30,confirm_proceed,I authorize Clixsy to proceed,checkbox,No,No,Keep,18 - Submit,12 - Submit,7 - Submit,Legal authorization,None,,
30,additional_notes,Anything else you'd like us to know?,textarea,No,No,Keep,18 - Submit,12 - Submit,7 - Submit,Open-ended catch-all,None,,